name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Eesti,2021-03-01T00:00:00,1,-3.4,0,93.05,0,0,,0,0,43.2,16.5,270,1024,88.3,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T01:00:00,2,-2.2,1,93.11,0,0,,0,0,43.2,16.4,280,1023.1,33,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T02:00:00,2,-1.2,0,86.82,0,0,,0,0,43.2,11.2,260,1023.1,13.8,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T03:00:00,2,-1.9,1,93.1,0,0,,0,0,36,14.7,279,1023.1,69.6,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T04:00:00,3,-1,0,81,0,0,,0,0,36,16.4,279,1023,77.6,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T05:00:00,1,-2.8,0,93.07,0,0,,0,0,36,13,240,1023,16.6,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T06:00:00,1,-2,0,93.04,0,0,,0,0,32.4,9.5,211,1022.1,5.2,10.4,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T07:00:00,0,-3.9,-0.9,93.02,0,0,,0,0,32.4,13,240,1022.1,0,10.4,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T08:00:00,0.1,-3.5,-0.9,93,0,0,,0,0,32.4,11.2,240,1022.1,0,10.5,23,0.1,0,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T09:00:00,1,-3.1,0,93.02,0,0,,0,0,32.4,14.8,240,1022,0,10.5,75,0.3,1,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T10:00:00,3,-1.5,0.1,80.85,0,0,,0,0,36,20.4,239,1021,0,10.5,202,0.7,2,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T11:00:00,5,1.3,1,75.33,0,0,,0,0,39.6,18.3,249,1021,0,10.5,215,0.8,2,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T12:00:00,6,3.6,1,70.32,0,0,,0,0,48.3,11.4,230,1020,31.1,10.5,304,1.1,3,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T13:00:00,8,4.8,1,61.62,0,0,,0,0,50.7,20.7,240,1019,2.3,10.5,282,1,3,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T14:00:00,7,2.4,1,65.81,0,0,,0,0,43.2,33.1,269,1018,37.5,10.5,180,0.6,2,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T15:00:00,5,0.2,1,75.35,0,0,,0,0,41.6,29.3,269,1018,50.5,10.5,139,0.5,1,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T16:00:00,4,-1,1,80.77,0,0,,0,0,39.5,27.4,269,1018,77.6,10.5,107,0.4,1,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T17:00:00,3,-1.5,0,80.67,0,0,,0,0,36.2,20.4,250,1017.1,18.4,10.5,53,0.2,1,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T18:00:00,3,-1.9,0,80.77,0,0,,0,0,33.1,23.9,250,1017,48.2,10.5,14,0.1,0,,Partially cloudy,partly-cloudy-night,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T19:00:00,2,-2.9,0,86.54,0,0,,0,0,32.6,22.1,260,1017.1,0,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T20:00:00,3,-1.7,-1,75.18,0,0,,0,0,39.6,22.1,269,1018,0,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T21:00:00,3,-1.5,-1,75.15,0,0,,0,0,43.2,20.5,270,1018,0,10.4,0,0,0,,Clear,clear-night,"26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T22:00:00,3,-1.7,-1.9,69.96,0,0,,0,0,43.2,22.1,279,1017.1,18.4,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-01T23:00:00,4,-0.8,-1.9,65.32,0,0,,0,0,43.2,25.7,279,1017.1,64.4,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T00:00:00,4,-0.2,-1,70.18,0,0,,0,0,39.6,20.4,279,1017,84.8,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T01:00:00,3,-1.2,-1,75.12,0,0,,0,0,36,18.3,270,1017,90,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T02:00:00,3,-0.6,-1,75.15,0,0,,0,0,36,14.8,269,1016,97.5,10.5,0,0,0,,Overcast,cloudy,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T03:00:00,3,-1.2,-1,75.2,0.001,100,rain,0,0,36,18.3,260,1016,29.9,10.5,0,0,0,,"Rain, Partially cloudy",rain,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T04:00:00,3,-1.7,-0.9,75.17,0,0,,0,0,46.8,22.3,280,1015.1,95.2,10.5,0,0,0,,Overcast,cloudy,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T05:00:00,3,-1.9,-1,75.13,0,0,,0,0,43.5,23.9,299,1015,89.2,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T06:00:00,3,-0.9,-1,75.17,0,0,,0,0,42.3,16.6,290,1016,29.6,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T07:00:00,2,-2.4,-1,80.62,0,0,,0,0,42.3,18.3,280,1016.1,12.1,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T08:00:00,2,-2.9,-1,80.65,0,0,,0,0,37.7,22.1,280,1017,0,10.5,17,0.1,0,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T09:00:00,2,-3.1,0,86.48,0,0,,0,0,31,23.9,290,1018,0,10.5,127,0.5,1,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T10:00:00,3,-1.7,0,80.57,0,0,,0,0,40.9,22.1,299,1019,7.5,10.5,238,0.9,2,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T11:00:00,4,-0.8,0,75.16,0,0,,0,0,40.7,25.7,310,1020,0,10.5,328,1.2,3,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T12:00:00,4,-0.8,0,75.08,0,0,,0,0,42.5,25.7,299,1020,2.3,10.5,384,1.4,4,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T13:00:00,4,-0.4,-1,69.91,0,0,,0,0,37.9,22.3,289,1021,0,10.5,399,1.4,4,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T14:00:00,5,0.5,-1,65.33,0,0,,0,0,40.6,25.8,290,1021,0,10.5,374,1.3,4,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T15:00:00,5,0.4,-1,65.31,0,0,,0,0,38.3,25.8,290,1021,0,10.5,313,1.1,3,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T16:00:00,6,2,-1.9,56.89,0,0,,0,0,39.6,22.3,290,1022,12.4,10.5,202,0.7,2,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T17:00:00,4,-0.8,-1.9,65.2,0,0,,0,0,41.4,25.9,290,1022,7.4,10.5,59,0.2,1,,Clear,clear-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T18:00:00,4,-0.9,-1.9,65.26,0,0,,0,0,40.4,25.8,290,1022.1,2.5,10.5,14,0.1,0,,Clear,clear-night,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T19:00:00,3,-2.1,-1.9,69.98,0,0,,0,0,40.5,25.7,290,1023,0,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T20:00:00,3,-1.7,-1,75.18,0,0,,0,0,40.5,22.2,309,1023.1,0,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T21:00:00,2,-2.5,-1.9,75.1,0,0,,0,0,46.8,18.3,309,1024,0,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T22:00:00,2,-2.5,-2,75.14,0,0,,0,0,46.8,18.3,309,1023.1,0,10.4,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-02T23:00:00,1,-3.4,-1,86.55,0,0,,0,0,46.8,16.5,290,1024,0,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T00:00:00,1,-4.7,-1,86.55,0,0,,0,0,46.8,25.6,290,1023.1,0,10.4,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T01:00:00,1,-3.7,-1,86.54,0,0,,0,0,46.8,18.3,299,1023,0,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T02:00:00,1,-3.7,-1,86.55,0,0,,0,0,46.8,18.3,289,1023,0,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T03:00:00,1,-4,-2,80.53,0,0,,0,0,39.6,20.4,289,1022.1,9.9,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T04:00:00,1,-4.2,-2,80.53,0,0,,0,0,36,22.2,289,1022,25,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T05:00:00,2,-2.8,-2,75.15,0,0,,0,0,36,20.3,289,1021.1,20.9,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T06:00:00,1,-3.7,-2.9,74.99,0,0,,0,0,36,18.2,279,1021,9.2,10.4,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T07:00:00,0,-4,-2,86.51,0,0,,0,0,36,13,250,1020,22.2,10.5,5,0,0,,Partially cloudy,partly-cloudy-night,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T08:00:00,0,-4.3,-2,86.49,0,0,,0,0,32.4,14.8,240,1019.1,22.2,10.5,31,0.1,0,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T09:00:00,1,-3.7,-1,86.52,0,0,,0,0,32.4,18.2,250,1019,33.5,10.5,132,0.5,1,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-03-03T10:00:00,3,-1.5,-1,75.24,0,0,,0,0,32.4,20.4,249,1018,39,10.5,237,0.9,2,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
