name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
alesund norway,2020-09-01T00:00:00,8.9,7.5,7,87.47,0,0,,0,0,16.2,9.3,170,1020,0,10,0,0,0,,Clear,clear-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-01T01:00:00,9.9,8.4,7.9,87.54,0,0,,0,0,13.7,11.1,150,1020.1,0,10,0,0,0,,Clear,clear-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-01T02:00:00,9.7,7.2,6.8,82.5,0,0,,0,0,5.4,18.2,140,1019.2,0,10,0,0,0,,Clear,clear-night,"01210099999,01209099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-01T03:00:00,8.9,6.7,6,81.83,0,0,,0,0,11.9,14.5,150,1019.1,0,10,0,0,0,,Clear,clear-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-01T04:00:00,9.9,8.1,7,81.95,0,0,,0,0,13.7,12.7,150,1020,0,10,0,0,0,,Clear,clear-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-01T05:00:00,7.8,5.8,6.8,93.56,0,0,,0,0,15.5,11,179,1020.1,0,10,0,0,0,,Clear,clear-night,"01210099999,01209099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-01T06:00:00,7,4.5,6,93.46,0,0,,0,0,17.3,12.7,160,1020,94.3,10,0,0,0,,Overcast,cloudy,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-01T07:00:00,7,5.6,7,99.94,0,0,,0,0,18,7.4,180,1020,89.4,10,12,0,0,,Partially cloudy,partly-cloudy-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T08:00:00,9.9,8.4,8.9,93.57,0,0,,0,0,5,10.9,161,1020,90.2,10,76,0.3,1,,Overcast,cloudy,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T09:00:00,12.9,12.9,8.9,77.02,0,0,,0,0,2.5,10.9,161,1020,58.3,10,209,0.8,2,,Partially cloudy,partly-cloudy-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T10:00:00,12.9,12.9,8.9,76.73,0,0,,0,0,23,7.2,105,1020.1,23.2,10,334,1.2,3,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T11:00:00,14,14,9,71.81,0,0,,0,0,5.4,5.4,82,1020,10.8,10,429,1.5,4,,Clear,clear-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T12:00:00,15,15,8.9,67.12,0,0,,0,0,9.6,5.4,255,1020,0.1,10,505,1.8,5,,Clear,clear-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T13:00:00,15,15,9,67.09,0,0,,0,0,5.2,5.4,359,1020,0.5,10,549,2,5,,Clear,clear-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T14:00:00,16,16,8.9,62.77,0,0,,0,0,6.8,9.3,254,1020,7.1,10,550,2,6,,Clear,clear-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T15:00:00,16,16,9.9,67.13,0,0,,0,0,12.8,11.1,321,1020,19.9,10,531,1.9,5,,Clear,clear-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T16:00:00,16.1,16.1,10.9,71.51,0,0,,0,0,7.8,14.5,254,1019,27.7,10,474,1.7,5,,Partially cloudy,partly-cloudy-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T17:00:00,16.2,16.2,10.7,69.81,0,0,,0,0,14.9,19.7,258,1019,27.7,10,394,1.4,4,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T18:00:00,15,15,10,71.81,0,0,,0,0,5.6,20.1,254,1019,23.8,10,287,1,3,,Partially cloudy,partly-cloudy-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T19:00:00,15,15,10,71.94,0,0,,0,0,6.2,20.1,254,1019,26,10,175,0.6,2,,Partially cloudy,partly-cloudy-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T20:00:00,14.9,14.9,10,72.13,0,0,,0,0,8.8,10.9,249,1019,28.4,10,57,0.2,1,,Partially cloudy,partly-cloudy-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T21:00:00,12,12,9,81.85,0,0,,0,0,4.3,3.6,177,1019,10.3,10,10,0,0,,Clear,clear-night,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-01T22:00:00,11,11,9.9,93.13,0,0,,0,0,4.7,7.5,62,1019,5.1,10,0,0,0,,Clear,clear-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-01T23:00:00,11,11,9,87.3,0,0,,0,0,4.7,11,110,1019,0,10,0,0,0,,Clear,clear-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-02T00:00:00,10,9.1,9,93.34,0,0,,0,0,5.4,7.5,141,1019.1,0,10,0,0,0,,Clear,clear-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-02T01:00:00,11.9,11.9,10.9,93.41,0,0,,0,0,5.2,11,122,1019.1,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-02T02:00:00,11,11,10,93.56,0,0,,0,0,6.1,11.1,131,1018,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,ENAL,01218099999"
alesund norway,2020-09-02T03:00:00,11.9,11.9,10.9,93.34,0,0,,0,0,5.1,12.7,150,1018.1,100,10,0,0,0,,Overcast,cloudy,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-02T04:00:00,12.9,12.9,10.9,87.55,0,0,,0,0,5.4,12.7,147,1018.1,100,10,0,0,0,,Overcast,cloudy,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-02T05:00:00,12.9,12.9,9.9,81.89,0,0,,0,0,7.7,12.8,150,1017.1,27.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-02T06:00:00,12,12,8.9,81.73,0,0,,0,0,7.7,11,149,1016.1,0,10,0,0,0,,Clear,clear-night,"01210099999,ENAL,01218099999,01321099999"
alesund norway,2020-09-02T07:00:00,12.9,12.9,9.9,81.97,0,0,,0,0,6.9,12.8,160,1017.1,12.3,10,12,0,0,,Clear,clear-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-02T08:00:00,14.9,14.9,8.9,67.48,0,0,,0,0,9.9,11,149,1016.1,9.9,10,59,0.2,1,,Clear,clear-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-02T09:00:00,16.9,16.9,8,55.5,0,0,,0,0,5.8,14.5,178,1016.1,0.5,10,203,0.7,2,,Clear,clear-day,"01210099999,ENAL,E1600,01218099999,01321099999"
alesund norway,2020-09-02T10:00:00,16.9,16.9,8.7,58.39,0,0,,0,0,16.2,17.5,201,1016.2,0.1,10,345,1.2,3,,Clear,clear-day,"01210099999,01209099999,ENAL,E1600,01218099999,01321099999"
