name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
alesund norway,2020-05-01T00:00:00,7.4,7.4,-0.5,56.98,0,0,,0,0.48,16.2,3.9,196,998.1,0,10,0,0,0,,Clear,clear-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T01:00:00,7.3,6.5,-1.4,53.97,0,0,,0,0.48,18,5.4,232,998.1,0,10,0,0,0,,Clear,clear-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T02:00:00,7.3,6.5,-1.1,55.41,0,0,,0,0.48,25.4,5.4,279,998.1,100,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T03:00:00,7.4,6.6,-1.3,53.99,0,0,,0,0.48,18,5.8,193,998.1,100,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T04:00:00,7.5,7.5,-0.2,58.26,0,0,,0,0.47,17.3,3.6,161,998,100,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01224099999,01321099999"
alesund norway,2020-05-01T05:00:00,6,6,0.3,66.56,0,0,,0,0.47,15.8,3.7,185,998,100,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T06:00:00,6,6,0.3,66.59,0,0,,0,0.47,14.8,3.7,203,997.1,89.1,10,11,0,0,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T07:00:00,7,7,0.7,64.22,0,0,,0,0.47,13.7,3.7,236,997.1,50,10,29,0.1,0,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T08:00:00,7.6,7.6,0.9,62.72,0,0,,0,0.47,23.8,0.2,2,997.1,99.1,10,104,0.4,1,,Overcast,cloudy,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T09:00:00,9,9,-0.9,49.8,0,0,,0,0.46,13.3,3.6,281,997.1,99.1,10,164,0.6,2,,Overcast,cloudy,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T10:00:00,8.7,7.2,-0.1,54.23,0,0,,0,0.46,12.2,9,314,998,60.2,10,202,0.7,2,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T11:00:00,9.1,7.2,-0.3,51.59,0,0,,0,0.46,10.4,12.3,303,998.1,60.2,10,136,0.5,1,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T12:00:00,9,7.1,1.2,58.01,0,0,,0,0.46,9,12.5,307,998.1,100,10,216,0.8,2,,Overcast,cloudy,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T13:00:00,8.6,6.3,1.1,59.46,0,0,,0,0.45,9.4,14.3,270,998.1,60.2,10,120,0.4,1,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T14:00:00,7.1,4.5,2.3,71.46,0.678,100,rain,0,0.45,18.4,14.2,270,999,60.2,10,183,0.7,2,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T15:00:00,6.2,4,2.4,76.55,0.678,100,rain,0,0.45,11.2,10.7,260,999.1,60.2,10,162,0.6,2,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T16:00:00,5.7,3.7,2.4,79.47,0.626,100,rain,0,0.45,10.8,9.2,263,999.1,60.2,10,105,0.4,1,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T17:00:00,5.7,3.7,2.9,82.1,0.417,100,rain,0,0.44,10.4,8.9,261,999.1,60.2,10,125,0.5,1,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T18:00:00,5.6,3.6,2.4,80.02,0.7,100,rain,0,0.44,10.4,9,239,999.1,71.6,10,70,0.3,1,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01224099999,01321099999"
alesund norway,2020-05-01T19:00:00,5.5,3.9,2.7,82.05,0.574,100,rain,0,0.44,9.7,7.4,228,999.1,71.6,10,57,0.2,1,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T20:00:00,5.1,3.5,2.7,84.13,0.522,100,rain,0,0.44,13.9,7.4,228,1000.1,89.1,10,50,0.2,1,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T21:00:00,5.1,3.1,2.9,85.77,0.461,100,rain,0,0.43,9.4,8.9,243,1000.1,60.2,10,19,0.1,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T22:00:00,4.7,3.6,2.7,86.91,0.156,100,rain,0,0.43,8.3,5.3,222,1000.1,60.2,10,7,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-01T23:00:00,4.6,3.5,2.9,88.57,0.052,100,rain,0,0.43,8.6,5.3,178,1000.1,65.6,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-02T00:00:00,4.6,3.5,3.1,90.29,0.1,100,rain,0,0.43,8.6,5.4,179,1000.1,38.5,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-02T01:00:00,4.6,4.6,3.1,90.29,0.356,100,rain,0,0.42,8.6,3.6,148,1000.1,71.6,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-02T02:00:00,4.6,3.5,3.1,90.29,0,0,,0,0.42,2.9,5.3,172,1000.1,77,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-02T03:00:00,4.6,3.5,3.1,90.3,0.313,100,rain,0,0.42,9.4,5.4,171,1000.1,60.2,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-02T04:00:00,4.6,3.5,3.1,90.3,0.313,100,rain,0,0.42,10.1,5.3,170,1000.1,65.6,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-02T05:00:00,4.5,3.4,2.9,89.14,0.104,100,rain,0,0.41,11.5,5.3,167,1000.1,27.7,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
alesund norway,2020-05-02T06:00:00,4.7,3,3.2,90.31,0,0,,0,0.41,13,7.2,193,1000.1,94.5,10,7,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
alesund norway,2020-05-02T07:00:00,5.1,3.4,3.6,89.77,0,0,,0,0.41,14,7.5,159,1000.1,77,10,31,0.1,0,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
